,RESNET/CAL/ARI,RESNET/SIL/ARI
BreastTissue,0.268213715336592,0.268213715336592
Ecoli,0.5010894136524796,0.5010894136524796
Glass,0.24529364187700725,0.24529364187700725
Haberman,0.10399787130992173,0.10399787130992173
Iris,0.5681159420289855,0.5681159420289855
Parkinsons,0.05135036104397965,0.12184138103577684
Transfusion,0.01925885684977517,0.01925885684977517
Vehicle,0.1096799656043948,0.08690505725752318
VertebralColumn,0.3668643110201198,0.3668643110201198
WineQualityRed,0.06106003288598606,-0.0029351829466449635
